objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Arcadia Quest","155068","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697438","7.15681","7.59586","2.5337","325","16793","thing","Arcadia Quest","2","4","60","60","60","2014","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Arctic Scavengers: Base Game+HQ+Recon","174226","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696630","6.44876","7.18583","2.2581","0","5916","thing","Arctic Scavengers: Base Game+HQ+Recon","1","5","60","60","45","2015","2,3,4,5","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror (Third Edition)","257499","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697406","7.14807","7.68913","3.355","331","19550","thing","Arkham Horror (Third Edition)","1","6","180","180","120","2018","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game","205637","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117494950","7.8987","8.12893","3.5538","28","79298","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Attack on Titan: Deck-Building Game","194230","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695895","5.86294","6.9441","2.3333","3930","1847","thing","Attack on Titan: Deck-Building Game","1","5","90","90","60","2016","1,2,3,4","2,3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Axis & Allies","10093","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697377","6.26284","6.68687","3.2249","1868","8078","thing","Axis & Allies","2","5","240","240","240","2004","2,3,4,5","2,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Azul","230802","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117494989","7.62601","7.73586","1.7676","83","160276","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Back to the Future: Back in Time","302388","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695764","6.45992","7.204","2.4","1337","8496","thing","Back to the Future: Back in Time","2","4","50","50","50","2020","1,2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Backgammon","2397","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118488220","6.36565","6.5649","2.009","1571","23675","thing","Backgammon","2","2","30","30","30","1630","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bananagrams","27225","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663852","6.20895","6.40567","1.2952","2063","27202","thing","Bananagrams","1","8","15","15","15","2006","2,3,4,5,6","3,4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bandu","1231","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664335","6.33043","6.79857","1.2862","1657","5107","thing","Bandu","2","8","45","45","15","1987","2,3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bärenpark","219513","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696522","7.08504","7.28748","1.6601","390","26704","thing","Bärenpark","2","4","45","45","30","2017","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bastion","181236","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696885","5.7022","6.62836","2.4194","5880","1335","thing","Bastion","1","4","90","90","45","2015","1,2,3,4","2,3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Battlelands","278305","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784400","5.56409","6.38474","1.9091","11064","895","thing","Battlelands","3","5","60","60","30","2019","3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Beacon Patrol","362976","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664796","6.15636","7.15837","1.3333","2260","3944","thing","Beacon Patrol","1","4","30","30","30","2023","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bears vs Babies","211534","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663717","5.33563","5.39261","1.2522","27815","15025","thing","Bears vs Babies","2","5","20","20","15","2017","3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Best Treehouse Ever","171890","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784129","5.96823","6.49221","1.371","3188","3430","thing","Best Treehouse Ever","2","4","20","20","20","2015","3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal at Baldur's Gate","228660","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696091","6.45529","7.07923","2.56","1349","11222","thing","Betrayal at Baldur's Gate","3","6","60","60","60","2017","3,4,5,6","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal at House on the Hill","10547","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117507156","6.80227","7.01927","2.396","710","81792","thing","Betrayal at House on the Hill","3","6","60","60","60","2004","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Biblios","34219","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784212","6.99973","7.19806","1.6864","476","22137","thing","Biblios","2","4","30","30","30","2007","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Big Boggle","10550","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697238","6.06573","6.88997","1.4956","2656","3303","thing","Big Boggle","2","8","10","10","10","1979","1,2,3,4,5,6","4","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"The Big Book of Madness","171233","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696601","6.52228","6.88318","2.6755","1196","12197","thing","The Big Book of Madness","2","5","90","90","60","2015","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Blockbuster","272438","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664052","5.90758","6.56538","1.0526","3603","4891","thing","Blockbuster","4","10","60","60","30","2019","6,7,8,9,10","8","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Blokus Duo","16395","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697092","6.45471","6.83005","1.6821","1350","9685","thing","Blokus Duo","2","2","20","20","10","2005","2","2","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blokus Trigon","21550","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697810","6.30952","6.88512","1.9297","1720","4556","thing","Blokus Trigon","2","4","20","20","20","2006","2,3,4","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blood Rage","170216","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117494959","7.74316","7.91725","2.8853","55","58576","thing","Blood Rage","2","4","90","90","60","2015","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Bloodborne: The Card Game","195856","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117507220","6.29048","6.86083","2.0562","1778","7348","thing","Bloodborne: The Card Game","3","5","45","45","30","2016","3,4,5","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Bluffalo","158994","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788586","0","4.58333","0","0","54","thing","Bluffalo","2","4","25","25","25","2014","3,4","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"boop.","355433","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697140","6.45338","7.09905","1.3768","1358","6149","thing","boop.","2","2","30","30","20","2022","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Boss Monster: The Dungeon Building Card Game","131835","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784320","6.08636","6.271","1.848","2569","37542","thing","Boss Monster: The Dungeon Building Card Game","2","4","30","30","30","2013","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"BraveRats","112373","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697150","6.01381","6.46407","1.1405","2924","5391","thing","BraveRats","2","2","15","15","15","2011","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Brew","332386","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696513","6.46408","7.052","2.3882","1327","8347","thing","Brew","2","4","90","90","45","2021","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Bug Hunt","338425","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665078","5.50875","6.31081","1","21076","76","thing","Bug Hunt","2","4","15","15","15","2021","","","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ca$h 'n Guns: Second Edition","155362","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664241","6.63036","6.8188","1.248","991","23213","thing","Ca$h 'n Guns: Second Edition","4","8","30","30","30","2014","4,5,6,7,8","6,7,8","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cadomino","286561","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665291","0","6.25","0","0","27","thing","Cadomino","2","6","10","10","10","2019","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Camel Up (Second Edition)","260605","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117494684","7.24907","7.56804","1.5049","260","25275","thing","Camel Up (Second Edition)","3","8","45","45","30","2018","3,4,5,6,7,8","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Candy Land","5048","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695158","3.84502","3.20242","1.137","27940","8000","thing","Candy Land","2","4","30","30","30","1949","2,3,4","4","3–6","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne","822","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663893","7.29653","7.41175","1.8893","232","206238","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cartographers","263918","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696501","7.41253","7.58267","1.8737","161","55809","thing","Cartographers","1","100","45","45","30","2019","1,2,3,4,5,6,7,8,9","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cascadia","295947","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118754494","7.75777","7.92631","1.8602","49","75348","thing","Cascadia","1","4","45","45","30","2021","1,2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Casting Shadows","359502","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664519","5.7031","6.33649","2.2857","5863","3436","thing","Casting Shadows","2","4","60","60","30","2023","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Castles of Burgundy","271320","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118299125","7.95698","8.44408","2.9212","0","25264","thing","The Castles of Burgundy","1","4","120","120","70","2019","1,2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Castles of Mad King Ludwig","155426","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696731","7.32703","7.51264","2.6462","214","34206","thing","Castles of Mad King Ludwig","1","4","90","90","90","2014","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"CATAN","13","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663448","6.91474","7.09435","2.2878","574","219359","thing","CATAN","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Catan Dice Game","27710","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663557","5.63215","5.72507","1.2275","7524","17840","thing","Catan Dice Game","1","4","30","30","15","2007","1,2,3","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"CATAN: 3D Edition","338697","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118430230","5.82396","7.95899","1.75","0","1356","thing","CATAN: 3D Edition","3","4","120","120","60","2021","3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Catan: Junior","125921","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663541","6.13288","6.59318","1.496","2355","9141","thing","Catan: Junior","2","4","30","30","30","2011","2,3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"CATAN: Seafarers","325","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663562","6.91153","7.15341","2.3751","0","48399","thing","CATAN: Seafarers","3","4","90","90","90","1997","3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Century: A New World","270970","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696778","6.74534","7.30111","2.1165","799","11670","thing","Century: A New World","2","4","45","45","30","2019","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Chickapig","202490","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117694970","5.65585","6.3391","1.6","6840","2098","thing","Chickapig","2","4","60","60","25","2016","2,4","4","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Choose Your Own Adventure: House of Danger","251420","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664779","5.89277","6.21797","1.1296","3698","9961","thing","Choose Your Own Adventure: House of Danger","1","99","60","60","60","2018","1,2,3","1","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Citadels","205398","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664381","6.95348","7.24598","2.0487","528","28471","thing","Citadels","2","8","60","60","30","2016","3,4,5,6,7","5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Claim Kingdoms","260238","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664807","5.53027","5.96871","1.6667","15414","338","thing","Claim Kingdoms","2","4","30","30","30","2018","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Climbers: Family Edition","287658","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696130","5.5133","6.50286","1","19762","144","thing","The Climbers: Family Edition","2","5","30","30","20","2019","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Clue","130592","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664949","5.67907","5.94333","1.4795","6324","9660","thing","Clue","2","6","40","40","40","2012","3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames","178900","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117495085","7.44047","7.53578","1.2584","151","163927","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Color Brain: Disney Edition","277017","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665011","5.56676","6.00659","1","10843","1640","thing","Color Brain: Disney Edition","2","20","20","20","20","2019","2,3,4,5,6,7,8","2","4+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Concept","147151","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664004","6.59688","6.75375","1.3829","1047","34868","thing","Concept","4","12","40","40","40","2013","3,4,5,6,7,8,9,10,11,12","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Concept Kids: Animals","247314","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664008","6.01833","7.06312","1.1935","2906","2825","thing","Concept Kids: Animals","2","12","20","20","20","2018","2,3,4,5,6,7","4","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Connect Four","2719","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117694085","5.02158","4.97879","1.1881","27911","14525","thing","Connect Four","2","2","10","10","10","1974","2","2","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cosmic Encounter","39463","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695669","7.3306","7.5176","2.5829","211","42030","thing","Cosmic Encounter","3","5","120","120","60","2008","4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Costa Rica","194100","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696566","5.7392","6.186","1.303","5265","2693","thing","Costa Rica","2","5","45","45","30","2016","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cottage Garden","204027","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695571","6.55403","6.85181","1.8859","1124","12825","thing","Cottage Garden","1","4","60","60","60","2016","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Coup","131357","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784198","6.83854","6.98024","1.4097","677","85560","thing","Coup","2","6","15","15","15","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Crew: The Quest for Planet Nine","284083","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117494975","7.64335","7.7838","1.9568","78","85074","thing","The Crew: The Quest for Planet Nine","2","5","20","20","20","2019","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Crossed Words","300400","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664198","5.52741","6.15271","1","16048","264","thing","Crossed Words","3","6","30","30","30","2020","3,4,5,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"CrossTalk","215371","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117694572","5.94139","6.88452","1.2","3368","1900","thing","CrossTalk","4","8","30","30","20","2017","4,5,6,7,8","4,6,8","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dead of Winter: A Crossroads Game","150376","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697385","7.29191","7.45499","3.0117","235","66824","thing","Dead of Winter: A Crossroads Game","2","5","120","120","60","2014","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Deception: Murder in Hong Kong","156129","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118299171","7.23449","7.4357","1.5824","267","35548","thing","Deception: Murder in Hong Kong","4","12","20","20","20","2014","5,6,7,8,9,10,11,12","6,7,8","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Decrypto","225694","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117694584","7.54423","7.76812","1.8272","108","40036","thing","Decrypto","3","8","45","45","15","2018","4,5,6,7,8","4,6","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Deer in the Headlights Game","126207","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117787766","5.36201","4.86199","1.1579","27781","1713","thing","Deer in the Headlights Game","2","6","30","30","30","2012","4,5,6","5,6","6–12","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Forge","194594","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696047","7.01958","7.22431","1.9665","451","36070","thing","Dice Forge","2","4","45","45","45","2017","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit","39856","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117494936","7.0788","7.19269","1.1949","398","100069","thing","Dixit","3","8","30","30","30","2008","4,5,6,7,8","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit: Odyssey","92828","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663980","7.16275","7.39336","1.1608","323","32558","thing","Dixit: Odyssey","3","12","30","30","30","2011","4,5,6,7,8,9,10,11,12","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Don't Go In There","346057","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788126","5.81059","6.62478","1.6923","4404","2200","thing","Don't Go In There","2","5","35","35","25","2022","3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dr. Seuss 3 Games in ONE!","354330","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665061","0","0","0","0","2","thing","Dr. Seuss 3 Games in ONE!","2","4","0","0","0","2005","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragomino","300010","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665174","6.31231","7.06153","1.0714","1709","6108","thing","Dragomino","2","4","15","15","15","2020","2,3,4","3,4","4–12","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragon Farkle","128174","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664023","5.71659","6.37606","1.5","5630","1937","thing","Dragon Farkle","2","5","30","30","30","2015","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dreams of Tomorrow","257415","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697477","5.55752","6.32262","1.8333","11586","553","thing","Dreams of Tomorrow","1","6","45","45","45","2019","1,2,3,4","1","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: Rock Paper Wizard","207062","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663645","5.92432","6.55731","1.3448","3483","3633","thing","Dungeons & Dragons: Rock Paper Wizard","3","6","30","30","30","2016","3,4,5,6","5,6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
